.txt text_files
.pdf pdf_files
.docx word_files
.png image_files
.mp3 audio_files
.mp4 video_files
.zip zip_files
.exe exe_files
.iso iso_files
.jpg image_files
.jpeg image_files
.gif image_files
.bmp image_files
.svg image_files
.psd image_files
.ai image_files
.indd image_files
.mpg video_files
.json json_files
.csv csv_files
.xlsx excel_files
.pptx powerpoint_files
.html html_files
.css css_files
.js js_files
.php php_files
.py python_files
.dll dll_files
.xml xml_files
.xhtml xhtml_files
.sql sql_files
.htm html_files
.c c_files
.cpp cpp_file
.h h_files
.hpp hpp_files
.java java_files
.jar jar_files
.class class_files
.PDF pdf_files
.DOCX word_files
.PNG image_files
.bin bin_files
.stl stl_files
.obj obj_files
.xls excel_files
.viso viso_files
.vmdk vmdk_files
.vdi vdi_files
.7z 7z_files
.ppt powerpoint_files
.doc word_files
.ico ico_files
.odt odt_files
